ชื่อร้าน,ชื่อสินค้า,ราคา,รูปภาพ,หมวดหมู่
โอเชช้อป เสื้อผ้ามือสองน่ารักๆ,เสื้อผ้ามือสอง// กระโปรงวินเทจ ผ้าฝ้ายทอ ลายตาราง โทนขาว-เทา จับจีบน่ารัก,150 บาท,"https://res.weloveshopping.com/929852/w_450,h_450,c_thumb/f0d2b060fbf70cd42726f9d5021f27ee/s1195.jpg",['กระโปรงคลุมเข่า']
โอเชช้อป เสื้อผ้ามือสองน่ารักๆ,เสื้อผ้ามือสอง// ELLE PLANETE กระโปรงผ้าสักหลาดสีครีม ชายปักหวานๆ,150 บาท,"https://res.weloveshopping.com/929852/w_450,h_450,c_thumb/ea8e3000e5648c06528b4dbf5b4e016a/s1197.jpg",['กระโปรงคลุมเข่า']
Anna Shops,กระโปรงยีนส์ เนื้อยีนส์แท้ ซิปหน้า ติดกระดุม ดีไซน์ตามแบบ,295 บาท,"https://res.weloveshopping.com/925238/w_450,h_450,c_thumb/2df0a8f5f67ab2e19aa5a8737886a304/0977-1.jpg",['กระโปรงสั้น']
BKK Lady Shop,(พร้อมส่ง77039)* กระโปรงสั้นผ้าแก้วเย็บจับจีบช่วงเอว Size XL(สีขาว),450 บาท,"https://res.weloveshopping.com/922863/w_450,h_450,c_thumb/7bb7f3a78705a7ef48911f8c3687c2cb/59995989.jpg",['กระโปรงสั้น']
MindMaxShop,กระโปรงหนัง กระโปรงสลิม มีซิปหน้า ใส่ทำงาน ใส่กับเสื้อหนังก็เท่ ๆ ดี สวย ๆ ชอบ ๆ,350 บาท,"https://res.weloveshopping.com/924830/w_450,h_450,c_thumb/57d5fd4dacfe7faf548cce272fc088f3/กระโปรง2.png",['กระโปรงสั้น']
ช็อปคลับดอทคอม,เสื้อกล้ามผู้ชาย - กระชับสัดส่วน slim n lift [1กล่อง/1ชิ้น][สี : เทา],385 บาท,"https://res.weloveshopping.com/915592/w_450,h_450,c_thumb/ca279838a05b64b075b5505a0242a0b2/slim-n-lift-1-1-color-57c.jpg",['เสื้อกล้าม']
ช็อปคลับดอทคอม,เสื้อกล้ามผู้ชาย - กระชับสัดส่วน slim n lift [1กล่อง/1ชิ้น][สี : น้ำเงิน],385 บาท,"https://res.weloveshopping.com/915592/w_450,h_450,c_thumb/6d62b32f681d3d755049e090ff4af162/slim-n-lift-1-1-color-3a1.jpg",['เสื้อกล้าม']
PK trading,เสื้อกั๊กเนื้อผ้าดี ด้านหลังพับลงมาเป็นแบบตาข่ายได้ ซิปหน้า ไซส์ XL,930 บาท,"https://res.weloveshopping.com/925123/w_450,h_450,c_thumb/9b05c8973642a50302444f27023a4990/clothred.jpg",['เสื้อกั๊ก']
TK Mall,เสื้อโปโลสีดำ ผ้า Lycra cotton มีกระเป๋าหน้า สกรีนด้านหลัง ไซต์ S-3XL #POLO05,339 บาท,"https://res.weloveshopping.com/922259/w_450,h_450,c_thumb/6b5ea37e8b101275c690ffaf60cf7423/s__30343176.jpg",['เสื้อโปโลผู้ชาย']
WornMe Clothing,Nanibon (ผ้า Rayon),110 บาท,"https://res.weloveshopping.com/926503/w_450,h_450,c_thumb/ea446fe2adb6e1f5a7e55cafa67424e0/online1.jpg",['เสื้อโปโลผู้ชาย']
